system,edge_on_survival,m95_factor
TOI-5624,1.0,3.2025630761017436
K2-111,1.0,3.2025630761017436
GJ 3998,1.0,3.2025630761017436
HD 99492,1.0,3.2025630761017436
TOI-771,1.0,3.2025630761017436
G 264-012,1.0,3.2025630761017436
GJ 251,1.0,3.2025630761017436
GJ 1132,1.0,3.2025630761017436
