system,planet,msini_mjup,swept,ceiling_factor,mass_ceiling_mjup,inc_floor_deg,t_max_yr
rho CrB,rho CrB b,1.09491472,True,,,,35329.22670801963
rho CrB,rho CrB c,0.08634219,True,,,,35329.22670801963
75 Cet,75 Cet b,2.479,True,,,,1907241.638513433
75 Cet,75 Cet c,0.912,True,,,,1907241.638513433
HD 107148,HD 107148 c,0.0626,True,,,,50175.770233723815
HD 107148,HD 107148 b,0.21,True,,,,50175.770233723815
HD 219134,HD 219134 b,0.01491363,False,,,,8467.969889907425
HD 219134,HD 219134 c,0.01371803,False,,,,8467.969889907425
HD 219134,HD 219134 f,0.02296825,False,,,,8467.969889907425
HD 219134,HD 219134 d,0.05087625,False,,,,8467.969889907425
HD 219134,HD 219134 g,0.034,True,,,,8467.969889907425
HD 219134,HD 219134 h,0.34,True,,,,8467.969889907425
YZ Cet,YZ Cet b,0.00220245,True,6.392453221499662,0.01407905859769193,9.0,5532.840548190243
YZ Cet,YZ Cet c,0.00358684,True,6.392453221499662,0.022928706913003846,9.0,5532.840548190243
YZ Cet,YZ Cet d,0.00342952,True,6.392453221499662,0.02192304617219752,9.0,5532.840548190243
HD 189567,HD 189567 b,0.02674399,True,,,,39118.41311847341
HD 189567,HD 189567 c,0.02202446,True,,,,39118.41311847341
HD 28471,HD 28471 b,0.01170443,True,,,,8665.024004875957
HD 28471,HD 28471 c,0.01799713,True,,,,8665.024004875957
HD 28471,HD 28471 d,0.01544859,True,,,,8665.024004875957
GJ 887,GJ 887 e,0.00459367,True,11.473713245669856,0.05270645232523625,5.0,12114.716547498134
GJ 887,GJ 887 b,0.01227077,True,11.473713245669856,0.1407912962835683,5.0,12114.716547498134
GJ 887,GJ 887 c,0.02045129,True,11.473713245669856,0.23465223696403548,5.0,12114.716547498134
GJ 887,GJ 887 d,0.01919275,True,11.473713245669856,0.22021210989583015,5.0,12114.716547498134
Kepler-68,Kepler-68 b,0.02526521,False,,,,14780.979560203925
Kepler-68,Kepler-68 c,0.00409026,False,,,,14780.979560203925
Kepler-68,Kepler-68 d,0.84007174,False,,,,14780.979560203925
Kepler-68,Kepler-68 e,0.272,True,,,,14780.979560203925
K2-18,K2-18 c,0.02362898,True,2.0000000000000004,0.047257960000000016,29.999999999999993,24536.618778330387
K2-18,K2-18 b,0.02806532,False,2.0000000000000004,,29.999999999999993,24536.618778330387
HD 20003,HD 20003 b,0.0367,True,,,,32438.604473822237
HD 20003,HD 20003 c,0.0454,True,,,,32438.604473822237
HD 20781,HD 20781 b,0.0061,True,,,,14547.570168755086
HD 20781,HD 20781 c,0.0168,True,,,,14547.570168755086
HD 20781,HD 20781 d,0.0334,True,,,,14547.570168755086
HD 20781,HD 20781 e,0.0442,True,,,,14547.570168755086
Kepler-56,Kepler-56 b,0.07,False,,,,28751.814133102456
Kepler-56,Kepler-56 c,0.57,False,,,,28751.814133102456
Kepler-56,Kepler-56 d,5.61,True,,,,28751.814133102456
TOI-6695,TOI-6695 b,0.21,False,,,,220093.08914706256
TOI-6695,TOI-6695 c,1.45,True,,,,220093.08914706256
HD 104067,HD 104067 c,0.04153184,True,,,,38053.93646554318
HD 104067,HD 104067 b,0.19538845,True,,,,38053.93646554318
Wolf 1061,Wolf 1061 b,0.0060095,True,,,,13379.60335314515
Wolf 1061,Wolf 1061 c,0.01072901,True,,,,13379.60335314515
Wolf 1061,Wolf 1061 d,0.02422679,True,,,,13379.60335314515
HD 21693,HD 21693 b,0.0259,True,,,,62090.62513433668
HD 21693,HD 21693 c,0.0547,True,,,,62090.62513433668
L 98-59,L 98-59 b,0.00144732,False,,,,6168.689963846455
L 98-59,L 98-59 c,0.0062927,False,,,,6168.689963846455
L 98-59,L 98-59 d,0.00516002,False,,,,6168.689963846455
L 98-59,L 98-59 e,0.00887271,True,,,,6168.689963846455
L 98-59,L 98-59 f,0.00880979,True,,,,6168.689963846455
Kepler-48,Kepler-48 b,0.01239656,False,,,,13081.451706519376
Kepler-48,Kepler-48 c,0.04596797,False,,,,13081.451706519376
