system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,m95_factor,mass_ceiling_mjup,mass_95_mjup,inc_floor_deg,t_max_yr
Barnard's star,Barnard d,0.00082749,True,0.55,1.220774588761456,2.1792350319735614,0.0010101787644542172,0.0018032951966078022,55.0,6407.118715264132
Barnard's star,Barnard b,0.00094076,True,0.55,1.220774588761456,2.1792350319735614,0.0011484559021232275,0.0020501371486794477,55.0,6407.118715264132
Barnard's star,Barnard c,0.00105403,True,0.55,1.220774588761456,2.1792350319735614,0.0012867330397922376,0.002296979100751093,55.0,6407.118715264132
Barnard's star,Barnard e,0.00060725,True,0.55,1.220774588761456,2.1792350319735614,0.0007413153690253942,0.0013233404731659453,55.0,6407.118715264132
TYC 1422-614-1,TYC 1422-614-1 b,2.5,True,1.0,3.0715534867572423,2.013838310483138,7.678883716893106,5.034595776207845,19.0,543189.6214679668
TYC 1422-614-1,TYC 1422-614-1 c,10.0,True,1.0,3.0715534867572423,2.013838310483138,30.715534867572423,20.13838310483138,19.0,543189.6214679668
47 UMa,47 UMa b,2.53,True,0.55,3.6279552785433005,2.3506648179478695,9.178726854714549,5.94718198940811,16.0,2951403.290536893
47 UMa,47 UMa c,0.54,True,0.55,3.6279552785433005,2.3506648179478695,1.9590958504133824,1.2693590016918497,16.0,2951403.290536893
47 UMa,47 UMa d,1.64,True,0.55,3.6279552785433005,2.3506648179478695,5.949846656811013,3.855090301434506,16.0,2951403.290536893
HIP 57274,HIP 57274 b,10.57,False,0.45,8.205509048125078,2.9672447459630056,,,7.0,22272.964748132883
HIP 57274,HIP 57274 c,0.40902369,True,0.45,8.205509048125078,2.9672447459630056,3.356247589192507,1.2136733951269012,7.0,22272.964748132883
HIP 57274,HIP 57274 d,0.5267,True,0.45,8.205509048125078,2.9672447459630056,4.321841615647478,1.562847807698715,7.0,22272.964748132883
HD 95089,HD 95089 b,1.26,True,0.95,3.0715534867572423,2.3051083518883324,3.870157393314125,2.904436523379299,19.0,1271457.9639976646
