system,planet,msini_mjup,msini_mearth,m95_factor,mass_95_mjup,mass_95_mearth,ceiling_factor,inc_floor_deg,tightened
HD 21693,HD 21693 c,0.0547,17.38,3.2,0.1752,55.67,,,False
HD 39194,HD 39194 b,0.01454,4.62,3.2,0.04655,14.79,,,False
HD 39194,HD 39194 c,0.02357,7.489,3.2,0.07547,23.99,,,False
HD 39194,HD 39194 d,0.01624,5.16,3.2,0.05199,16.52,,,False
Kepler-48,Kepler-48 f,0.9394,298.6,3.2,3.009,956.1,,,False
Kepler-56,Kepler-56 d,5.61,1783,3.2,17.97,5710,,,False
TOI-375,TOI-375 c,2.106,669.3,3.2,6.745,2143,,,False
TOI-375,TOI-375 d,1.402,445.6,3.2,4.49,1427,,,False
TOI-5789,TOI-5789 b,0.00667,2.12,3.2,0.02136,6.789,,,False
TOI-5789,TOI-5789 d,0.0135,4.29,3.2,0.04323,13.74,,,False
TOI-5789,TOI-5789 e,0.03653,11.61,3.2,0.117,37.18,,,False
TOI-6695,TOI-6695 c,1.45,460.8,3.2,4.644,1476,,,False
TOI-1062,TOI-1062 c,0.03077,9.779,3.22,0.09903,31.47,,,False
